intstarttime,vcimsi,intenbid,intscrsrp,intpci,intnc1rsrp,intnc2rsrp,intnc3rsrp,intnc4rsrp,intnc5rsrp,intnc6rsrp,intnc7rsrp,intnc8rsrp,intmr_ta,intmr_uetranspowermargin,flong,flat
1584677463000 ,389351726,690841,43,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,49,113.382896,23.124933
1584676850000 ,186376917,169945,49,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.372016,23.129268
1584676850000 ,192397009,169945,48,11,39,33,32,30,27,35,24,71,2,63,113.371292,23.129159
1584676850000 ,78962893,169945,46,11,48,41,41,55,44,33,32,21,2,63,113.372406,23.128763
1584676911000 ,404890520,169945,56,11,34,29,37,36,67,65,\N,\N,1,63,113.37358,23.128269
1584676911000 ,405436854,169945,57,11,51,43,43,42,39,56,68,66,1,63,113.372535,23.128582
1584676957000 ,186376917,169945,50,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.372016,23.129257
1584676937000 ,186376917,169945,50,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.372016,23.129257
1584676927000 ,405436854,169945,56,11,46,44,41,52,66,58,66,60,1,63,113.372512,23.128559
1584676983000 ,186376917,169945,52,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.372039,23.129245
1584676983000 ,254060872,169945,53,11,43,39,38,35,77,42,34,\N,2,63,113.37191,23.128763
1584677206000 ,165391944,690841,52,\N,39,46,29,39,30,\N,\N,\N,3,63,113.380836,23.127969
1584677209000 ,217170463,690841,63,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,113.382507,23.127626
1584677569000 ,315936370,690841,55,\N,33,29,59,55,\N,\N,\N,\N,3,53,113.380836,23.127916
1584676845000 ,186376917,169945,46,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.372016,23.129268
1584677666000 ,213729370,690841,59,\N,56,55,51,49,49,42,56,56,4,63,113.380561,23.12741
1584677666000 ,315936370,690841,60,\N,54,\N,\N,\N,\N,\N,\N,\N,3,63,113.380798,23.127883
1584677666000 ,517950166,690841,61,\N,57,57,48,47,45,\N,\N,\N,4,63,113.381248,23.127883
1584676922000 ,186376917,169945,53,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.372016,23.129257
1584676922000 ,404890520,169945,45,11,47,33,51,48,77,\N,\N,\N,1,63,113.374504,23.128108
1584676968000 ,336442373,169945,52,25,51,48,37,33,30,56,50,33,0,47,113.374359,23.128419
1584676947000 ,405436854,169945,55,11,44,40,37,52,57,51,72,48,1,63,113.372535,23.128538
1584676916000 ,405436854,169945,53,11,46,46,52,49,45,65,68,66,1,63,113.372535,23.128549
1584677671000 ,213729370,690841,57,\N,52,58,52,52,47,45,59,55,3,63,113.380561,23.127433
1584677671000 ,315936370,690841,62,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,63,113.380798,23.127895
1584677671000 ,517950166,690841,62,\N,62,56,52,38,39,39,\N,\N,4,63,113.381248,23.127883
1584676952000 ,405436854,169945,63,11,41,41,37,44,44,65,63,63,2,63,113.372535,23.128559
1584676942000 ,186376917,169945,43,11,35,\N,\N,\N,\N,\N,\N,\N,2,63,113.372016,23.129257
1584677053000 ,149186543,169945,57,11,50,64,50,41,41,28,22,\N,\N,\N,113.37107,23.127937
1584677053000 ,369581910,169945,59,11,50,42,68,55,35,31,42,38,\N,\N,113.380493,23.127786
1584677075000 ,149186543,169945,60,11,50,49,46,69,25,20,49,47,1,63,113.371307,23.12784
1584677075000 ,405436854,169945,55,11,48,47,48,47,59,56,62,62,2,63,113.372406,23.128665
1584677075000 ,467950060,169945,56,11,47,46,84,52,39,38,35,\N,2,63,113.371871,23.128623
